"","model","RMSE","Rsquared","RMSESD","RsquaredSD"
"1","brnn",0.634716231723288,0.385707300990465,0.0432679518438293,0.064977236122901
"2","enet",0.65350115226541,0.347748051734198,0.0429457531745005,0.0693243437452343
"3","icr",0.802709576456254,0.015561996442684,0.0374562802061798,0.0197055167675245
"4","leapSeq",0.668097074165426,0.315984619388756,0.0447746486608077,0.0647788718076472
"5","bridge",0.653489802613717,0.346125947555249,0.0439182137927021,0.070271570518847
