"","model","Accuracy","Kappa","AccuracySD","KappaSD"
"1","rocc",0.513424877978108,0.0859273575815994,0.0213892478212751,0.0640093722876534
"2","RFlda",0.490200452310767,0,0.00293933401724816,0
"3","glmnet",0.956784980263029,0.939588978934509,0.00781699468351377,0.0109508069847615
"4","C5.0Rules",0.948888697702911,0.928683608204912,0.00803903884440658,0.0112318886961597
"5","rpart",0.52728186137285,0.14904015927993,0.0583344300635481,0.200803525832565
"6","rf",0.981613122633366,0.974343305810998,0.0062850956198862,0.00880261078218295
