"","bandno","date","bodreg","site","sex","urb.score","urbanization","mass","tarsus","wing","pvol","pvol.tars","nestid","B2","H1","FWHM","S1U","bodycond","julian","year"
"1","187321182",2022-04-29,"ba","Sam Smith","Male",-2.0141,"rural",199,34.19,"120",11.8613333333333,0.346924051867018,"100",4.55034553709946,619,145.666666666667,0.234620437657355,-0.576331678659339,118,2022
"2","187321182",2022-04-29,"be","Sam Smith","Male",-2.0141,"rural",199,34.19,"120",11.8613333333333,0.346924051867018,"100",6.16207609469759,565.666666666667,173.333333333333,0.272833820223023,-0.576331678658741,118,2022
"3","187321182",2022-04-29,"rc","Sam Smith","Male",-2.0141,"rural",199,34.19,"120",11.8613333333333,0.346924051867018,"100",3.03296706142208,630.333333333333,324.333333333333,0.211707772741671,-0.57633167865874,118,2022
"4","187321182",2022-04-29,"rr","Sam Smith","Male",-2.0141,"rural",199,34.19,"120",11.8613333333333,0.346924051867018,"100",4.53179787774482,641.5,197,0.192883240978765,-0.57633167865874,118,2022
"5","187321182",2022-04-29,"th","Sam Smith","Male",-2.0141,"rural",199,34.19,"120",11.8613333333333,0.346924051867018,"100",11.7968981531715,618.857142857143,128.428571428571,0.257977355811836,-0.57633167865874,118,2022
"6","187321173",2022-04-27,"ba","Sam Smith","Female",-2.0141,"rural",201,34.26,"118",13.0887033333333,0.382040377505351,"102",3.67013974743351,592.666666666667,185.833333333333,0.181721350700789,-0.517542085385009,116,2022
"7","187321173",2022-04-27,"be","Sam Smith","Female",-2.0141,"rural",201,34.26,"118",13.0887033333333,0.382040377505351,"102",6.33463976519942,624,317.5,0.176295186066942,-0.517542085385009,116,2022
"8","187321173",2022-04-27,"rc","Sam Smith","Female",-2.0141,"rural",201,34.26,"118",13.0887033333333,0.382040377505351,"102",4.12346007680685,636.666666666667,189.333333333333,0.0945562228986572,-0.517542085385009,116,2022
"9","187321173",2022-04-27,"th","Sam Smith","Female",-2.0141,"rural",201,34.26,"118",13.0887033333333,0.382040377505351,"102",3.44761333044191,633.714285714286,274.428571428571,0.19796974764754,-0.517542085385009,116,2022
"10","187321215",2022-05-04,"ba","Sam Smith","Female",-2.0141,"rural",179,34.65,"127",7.93154833333333,0.228904713804714,"104",5.68043624776168,583.333333333333,145.333333333333,0.249372094869218,-0.00422761139604362,123,2022
"11","187321215",2022-05-04,"be","Sam Smith","Female",-2.0141,"rural",179,34.65,"127",7.93154833333333,0.228904713804714,"104",3.82676964361666,633.833333333333,250.833333333333,0.150425093608384,-0.00422761139604362,123,2022
"12","187321215",2022-05-04,"lc","Sam Smith","Female",-2.0141,"rural",179,34.65,"127",7.93154833333333,0.228904713804714,"104",11.4064314834487,640,167,0.220344591602807,-0.00422761139604362,123,2022
"13","187321215",2022-05-04,"th","Sam Smith","Female",-2.0141,"rural",179,34.65,"127",7.93154833333333,0.228904713804714,"104",3.76705095936241,642.428571428571,187.428571428571,0.238597164292865,-0.00422761139604362,123,2022
"14","187321176",2022-04-28,"ba","Sam Smith","Male",-2.0141,"rural",211,35.63,"124",6.77196666666667,0.19006361680232,"107",6.26892216021581,569,145.5,0.252535077854292,0.796405880983647,117,2022
"15","187321176",2022-04-28,"be","Sam Smith","Male",-2.0141,"rural",211,35.63,"124",6.77196666666667,0.19006361680232,"107",0.821561135245433,491.5,340,0.21517636974265,0.796405880983647,117,2022
"16","187321176",2022-04-28,"lc","Sam Smith","Male",-2.0141,"rural",211,35.63,"124",6.77196666666667,0.19006361680232,"107",6.81927892042366,630,167,0.226725185154066,0.796405880983647,117,2022
"17","187321176",2022-04-28,"rc","Sam Smith","Male",-2.0141,"rural",211,35.63,"124",6.77196666666667,0.19006361680232,"107",5.46343129427544,639,155,0.186312080410743,0.796405880983647,117,2022
"18","187321176",2022-04-28,"rr","Sam Smith","Male",-2.0141,"rural",211,35.63,"124",6.77196666666667,0.19006361680232,"107",4.81065060962301,633.25,218.5,0.154825319203814,0.796405880983647,117,2022
"19","187321176",2022-04-28,"th","Sam Smith","Male",-2.0141,"rural",211,35.63,"124",6.77196666666667,0.19006361680232,"107",5.88109607968274,588.8,145.2,0.247901665617164,0.796405880983647,117,2022
"20","187321177",2022-04-28,"ba","Sam Smith","Female",-2.0141,"rural",200,33.69,"123",12.4345262222222,0.369086560469642,"107",9.31146554522838,610,159.6,0.245909968686734,-1.08193688202187,117,2022
